time,gFx,gFy,gFz,TgF
0.393918593,0.2560,0.2009,0.9445,0.999
0.394095989,0.2534,0.1999,0.9450,0.999
0.399046197,0.2514,0.1984,0.9432,0.996
0.399529739,0.2484,0.1984,0.9396,0.992
0.404014687,0.2426,0.1997,0.9325,0.984
0.404720364,0.2360,0.1987,0.9340,0.984
0.408608958,0.2313,0.1977,0.9313,0.980
0.409316822,0.2306,0.1950,0.9386,0.986
0.415581301,0.2326,0.1970,0.9388,0.987
0.416935833,0.2313,0.1975,0.9408,0.989
0.418212395,0.2331,0.1989,0.9457,0.994
0.418901041,0.2399,0.1987,0.9442,0.994
0.422932864,0.2384,0.1972,0.9430,0.992
0.423687447,0.2409,0.1972,0.9428,0.993
0.427822916,0.2401,0.1916,0.9418,0.991
0.42848776,0.2401,0.1928,0.9440,0.993
0.432817968,0.2404,0.1896,0.9464,0.995
0.433788854,0.2428,0.1877,0.9462,0.995
0.437459479,0.2418,0.1850,0.9452,0.993
0.438202551,0.2428,0.1825,0.9430,0.991
0.442106041,0.2450,0.1835,0.9437,0.992
0.442927239,0.2467,0.1821,0.9484,0.997
0.455726458,0.2497,0.1833,0.9479,0.997
0.457183801,0.2504,0.1799,0.9508,1.000
0.457889739,0.2536,0.1786,0.9540,1.003
0.458476614,0.2568,0.1789,0.9547,1.005
0.45913276,0.2585,0.1784,0.9616,1.012
0.459795781,0.2619,0.1769,0.9604,1.011
0.461219322,0.2602,0.1789,0.9569,1.008
0.461478176,0.2621,0.1796,0.9577,1.009
0.471221093,0.2626,0.1772,0.9543,1.005
0.471780364,0.2585,0.1779,0.9498,1.000
0.472002291,0.2534,0.1791,0.9442,0.994
0.472189114,0.2521,0.1796,0.9430,0.993
0.475893489,0.2480,0.1794,0.9418,0.990
0.476208749,0.2511,0.1794,0.9474,0.996
0.480253437,0.2521,0.1830,0.9526,1.002
0.480699531,0.2509,0.1825,0.9501,0.999
0.485430624,0.2470,0.1823,0.9437,0.992
0.485866249,0.2470,0.1845,0.9457,0.995
0.489890416,0.2489,0.1884,0.9557,1.005
0.490168437,0.2484,0.1884,0.9523,1.002
0.494800676,0.2470,0.1891,0.9464,0.996
0.495107864,0.2477,0.1914,0.9511,1.001
0.499858489,0.2470,0.1901,0.9528,1.002
0.500485364,0.2475,0.1908,0.9459,0.996
0.504648854,0.2484,0.1891,0.9430,0.993
0.505038072,0.2548,0.1916,0.9440,0.996
0.508967968,0.2602,0.1967,0.9403,0.995
0.509346718,0.2682,0.1970,0.9401,0.997
0.514340312,0.2761,0.2024,0.9430,1.003
0.515109166,0.2819,0.2011,0.9428,1.004
0.518898124,0.2844,0.1987,0.9462,1.008
0.519357708,0.2873,0.1987,0.9447,1.007
0.523729635,0.2856,0.1960,0.9452,1.007
0.524130156,0.2885,0.1926,0.9464,1.008
0.528257603,0.2885,0.1882,0.9430,1.004
0.528653489,0.2902,0.1843,0.9457,1.006
0.533542031,0.2895,0.1860,0.9479,1.008
0.534093333,0.2866,0.1828,0.9450,1.004
